CASE_STATUS,AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,SWA_NAME,CITY_MATCH,STATE_MATCH,WORK_DAY_LENGTH,DAYTIME_WORK,HAS_OVERTIME
1,1,37,56,19,1,seasonal,40.0,15.17,0.0,none,0.0,0.0,0,different,same,9.5,1.0,1
1,1,35,71,6,1,peakload,40.0,14.31,0.0,none,0.0,3.0,0,different,different,8.0,1.0,1
1,1,37,56,6,0,peakload,40.0,12.43,0.0,none,0.0,0.0,0,different,same,10.0,1.0,1
1,1,35,72,22,1,peakload,35.0,9.08,0.0,none,0.0,1.0,0,different,different,8.5,1.0,1
1,1,51,33,25,1,peakload,40.0,14.18,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,35,72,10,1,peakload,35.0,9.89,0.0,none,0.0,6.0,0,different,same,17.0,0.0,1
1,1,37,56,1,1,seasonal,40.0,13.65,0.0,none,0.0,0.0,0,different,same,8.0,1.0,1
1,1,35,72,2,1,seasonal,35.0,13.25,0.0,none,0.0,6.0,0,different,different,7.0,1.0,1
1,1,43,72,7,1,seasonal,40.0,10.5,0.0,none,0.0,3.0,0,different,different,8.0,1.0,1
1,1,51,42,3,1,seasonal,40.0,14.48,0.0,none,0.0,12.0,0,different,different,14.0,0.0,1
1,1,37,56,3,1,seasonal,40.0,14.05,0.0,none,0.0,0.0,0,different,different,8.5,1.0,1
1,1,51,32,6,1,peakload,40.0,15.5,0.0,none,0.0,0.0,0,different,different,10.5,1.0,1
1,1,37,56,40,1,peakload,35.0,12.92,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
